"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";
"CASA PEDRO";"NUÑEZ DE ARCE 4";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983000000";"";"";"";"";"";"";
"CIRIACO";"PLAZA, 14";"49254";"Zamora";"Moral de Sayago";"ABELON";"ABELON";"980111111";"";"";"";"";"";"";
"LLAMAS";"C/ JOSE ANTONIO, 1";"49624";"Zamora";"Micereces de Tera";"ABRAVESES DE TERA";"ABRAVESES DE TERA";"980111111";"";"";"";"";"";"";
"RÁFAGA";"ANTONIO MONEDERO, 39";"34210";"Palencia";"Dueñas";"DUEÑAS";"";"979780880";"";"";"";"";"";"";
"EL CHAFLAN";"C/ MARCELINA DEL VALLE, 3";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 62 02 02";"";"";"";"";"";"";
"LOS PARROS";"PLAZA LUIS RODRÍGUEZ DE MIGUEL, 3";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 01 74";"";"";"";"";"";"";
"CENTRAL";"PLAZA MAYOR, 18";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 00 36";"";"";"";"";"";"";
"EL SAUCO";"C/ Derecha Salamanca, 2";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"649171999";"";"";"";"";"";"";
"LOS ARCOS";"C/ DERECHA DE TORO, 19";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 10 57";"";"";"";"";"";"";
"LA RÍA";"PLAZA SANTA MARÍA, 10";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980 60 11 21";"";"";"";"";"";"";
"LOS LAURELES";"PLAZA LUIS RODRÍGUEZ DE MIGUEL, 110";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"616256612";"";"";"";"";"";"";
"EL PINCHAZO";"LA IGLESIA, 5";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980111111";"";"";"";"";"";"";
"SANTA  FE";"AVDA. PORTUGAL Nº 129";"37006";"Salamanca";"Salamanca";"SALAMANCA";"";"";"";"";"";"";"";"";
"CAFE REAL";"PLAZA MAYOR,7";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"923/210556";"";"";"";"";"";"";
"TINO'S";"GAMAZO, 3";"47410";"Valladolid";"Olmedo";"OLMEDO";"OLMEDO";"983601188";"";"";"";"";"";"";
"BRITANIA";"SIMANCAS, CAMINO VIEJO, 6";"47008";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983000000";"";"";"";"";"";"";
"MAMBO";"SAN FELIPE NERI 1";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983000000";"";"";"";"";"";"";
"LA FUENTE";"C/. SALAMANCA, 1";"37405";"Salamanca";"Cantalpino";"CANTALPINO";"";"923/532311";"";"";"";"";"";"";
"REFUGIO";"HUMILLADERO, 7";"37760";"Salamanca";"Linares de Riofrío";"LINARES DE RIOFRIO";"LINARES DE RIOFRIO";"675837131";"";"";"";"";"";"";
"CAFE EL EXPRESO";"DOMINGO DE SOTO Nº 1";"37003";"Salamanca";"Salamanca";"SALAMANCA";"";"";"";"";"";"";"";"";
"VALINOR";"PLAZA SAN JUSTO, 1";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"665966650";"";"";"";"";"";"";
"CAMBELL";"AVDA. REYES DE ESPAÑA 26";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923267736";"";"";"";"";"";"";
"LA PEDRESINA,S.A.";"PLAZA EUROPÀ,7";"37480";"Salamanca";"Fuentes de Oñoro";"FUENTES DE OÑORO";"";"923/473154";"923/487667";"";"";"pedresina @blatta.com";"";"";
"LA CASONA";"GERARDO POBLACIÓN, 51";"24811";"León";"Sabero";"OLLEROS DE SABERO";"";"987/718419";"";"";"";"";"";"";
"EL BARDAL";"AVDA. FEDERICO ANAYA, 52-54";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/239092";"";"";"";"";"";"";
"MARILOF";"MEDUL, 20";"24007";"León";"León";"LEON";"";"987/248168";"";"";"";"";"";"";
"EL CRUCE";"CTRA MADRID-CORUÑA, 17";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"";"";"";"";"";"";"";"";
"SOGGI";"JOVELLANOS, 4";"24007";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";
"TETUAN";"MARIANO ANDRES, 83";"24008";"León";"León";"LEON";"";"987/236320";"";"";"";"";"";"";
"CASA BERNARDO";"PORTALES DE SAN ANTONIO, 26 (PZA. MERCADO)";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"607286615";"";"";"";"";"";"";
"VICTOR";"LA TORRE, 21";"37740";"Salamanca";"Santibáñez de Béjar";"SANTIBAÑEZ DE BEJAR";"";"";"";"";"";"";"";"";
"GONDOLA";"AVDA. PORTUGAL, 65-67";"37005";"Salamanca";"Salamanca";"SALAMANCA";"";"";"";"";"";"";"";"";
"PARIS";"C/.ROBLEDILLO, 7";"37510";"Salamanca";"Martiago";"MARTIAGO";"";"";"";"";"";"";"";"";
"""12 Y 23""";"C/.LIBERTAD 20 Y MERINAS, 3";"37700";"Salamanca";"Béjar";"BEJAR";"";"";"";"";"";"";"";"";
"LAGO";"PLAZA ESPAÑA, S/N";"49362";"Zamora";"Galende";"RIBADELAGO DE FRANCO";"RIBADELAGO DE FRANCO";"980111111";"";"";"";"";"";"";
"TABERNA SAN BENITO";"FRANCISCO ZARANDONA 6";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983343655";"";"";"";"";"";"";
"CUÑARRO";"EUROPA, 14";"47009";"Valladolid";"Valladolid";"VALLADOLID";"";"629851949";"";"";"";"";"";"";
"DON PEPE";"CARRETERA DE RIBADELAGO S/N";"49362";"Zamora";"Galende";"RIBADELAGO DE FRANCO";"RIBADELAGO DE FRANCO";"980 62 67 47";"";"";"";"";"";"";
"BONANZA";"PLAZA OESTE, 15";"37007";"Salamanca";"Salamanca";"SALAMANCA";"";"923/221361";"";"";"";"";"";"";
"ANDRES";"RIO GUADALQUIVIR, 6-8";"37004";"Salamanca";"Salamanca";"SALAMANCA";"";"923/250626";"";"";"";"";"";"";
"CASTILLA";"C/ CRUCE, 18";"37260";"Salamanca";"Villavieja de Yeltes";"VILLAVIEJA DE YELTES";"VILLAVIEJA DE YELTES";"923519121";"";"";"";"";"";"";
"PISCINAS GARRIDO";"AVDA. FEDERICO ANAYA S/N";"37005";"Salamanca";"Salamanca";"SALAMANCA";"";"";"";"";"";"";"";"";
"PARQUE DE LOS JESUITAS";"Pº. DE SAN ANTONIO (PARQUE DE LOS JESUITAS)";"37003";"Salamanca";"Salamanca";"SALAMANCA";"";"649506682";"";"";"";"";"";"";
"LAS ENDRINAS";"LAS HUERTAS, 1";"37766";"Salamanca";"Endrinal";"ENDRINAL";"";"923600745";"";"";"";"";"";"";
"JULI";"PLAZA DEL OBISPO MARIJUAN Nº 28";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"";"923/437095";"";"";"";"";"";"";
"EL TOMILLO";"CTRA. VALLEJO DE ORBO";"34820";"Palencia";"Barruelo de Santullán";"BARRUELO DE SANTULLAN";"";"979606358";"";"";"";"";"";"";
"LA ALAMEDA";"C/ ALAMEDA, Nº 2";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920 341 303";"";"";"";"";"";"";
"EL PASO";"ESPAÑA, PLAZA, 3";"47680";"Valladolid";"Mayorga";"MAYORGA";"MAYORGA";"983000000";"";"";"";"";"";"";
